Дата,Цена машиноместа,Количество машиномест,Купит\некупит,Уникальный идентификатор покупки,Скидка,Налог,Стоимость дополнительных услуг,Общая стоимость,Итоговая сумма,Сумма платежа,Комиссия,Итоговая сумма с комиссией,Дополнительные расходы,Сумма дополнительных расходов
19,28,0,0,335,1.0,1.0,2.0,5244644.1,2627572.05,10.0,10.0,10.0,183900.0,183900.0
12,30,0,0,362,2.0,2.0,3.0,10370354.85,3469118.28333333,21.0,21.0,21.0,139581.0,139581.0
22,31,0,0,387,1.0,1.0,3.0,15954140.79,5337046.93,9.0,9.0,9.0,277621.0,277621.0
12,32,0,0,389,2.0,2.0,6.0,6393292.48,1969255.21166667,13.0,11.0,12.0,156272.0,130077.0
16,32,0,0,389,2.0,2.0,6.0,6393292.48,1969255.21166667,13.0,11.0,12.0,156272.0,130077.0
20,33,0,0,406,1.0,1.0,3.0,8527501.44,2852500.48,5.0,5.0,5.0,212637.0,212637.0
22,34,0,0,431,1.0,1.0,3.0,9587178.79,3209059.59666667,3.0,3.0,3.0,212848.0,212848.0
6,35,0,0,449,1.0,1.0,2.0,4409879.07,2209939.535,11.0,11.0,11.0,148369.0,148369.0
3,36,0,0,453,1.0,1.0,3.0,2052028.5,1371352.33333333,2.0,2.0,2.0,105000.0,105000.0
15,37,0,0,486,1.0,1.0,6.0,14511979.96,4840659.98666667,13.0,10.0,11.5,227439.0,227439.0
21,38,0,0,493,1.0,1.0,2.0,7630164.31,3820082.155,11.0,11.0,11.0,220814.0,220814.0
20,39,0,1,505,1.0,1.0,9.0,5405894.25,2392590.98888889,13.0,6.0,9.11111111111111,213048.0,209758.0
14,40,0,0,513,2.0,2.0,2.0,3708657.41,1859578.705,1.0,1.0,1.0,108300.0,108300.0
24,42,0,0,531,2.0,2.0,2.0,3387281.76,1712140.88,24.0,24.0,24.0,87600.0,87600.0
13,43,0,0,538,1.0,1.0,2.0,5448558.0,2729279.0,13.0,13.0,13.0,207313.25,207313.25
17,44,0,0,556,2.0,2.0,10.0,12647985.87,2599046.176,20.0,11.0,16.4,339971.0,216855.0
22,45,0,0,566,1.0,1.0,2.0,8084489.3,4047244.65,6.0,6.0,6.0,145232.0,145232.0
14,46,0,0,571,1.0,1.0,4.0,5108218.84,2563359.42,10.0,10.0,10.0,222493.0,222493.0
21,47,0,1,587,2.0,2.0,3.0,7970564.54,2666854.84666667,8.0,8.0,8.0,151269.0,151269.0
23,48,0,1,598,1.0,1.0,3.0,6725641.43,2251880.47666667,13.0,13.0,13.0,181223.0,181223.0
24,49,0,0,603,1.0,1.0,3.0,4348388.8,1461796.26666667,14.0,14.0,14.0,175675.0,175675.0
21,50,0,0,626,2.0,2.0,4.0,6521658.37,1664664.5925,23.0,11.0,14.0,214460.0,182666.0
18,51,1,0,641,2.0,2.0,6.0,27582087.49,4741806.13833333,20.0,20.0,20.0,292395.0,202967.0
19,52,0,0,647,1.0,1.0,3.0,4996874.61,3334583.07333333,7.0,7.0,7.0,142646.0,142646.0
8,53,0,0,677,1.0,1.0,2.0,3787050.21,1898775.105,8.0,8.0,8.0,161001.0,161001.0
6,54,0,0,688,1.0,1.0,2.0,3333405.9,1671702.95,6.0,6.0,6.0,151973.0,151973.0
15,57,0,0,707,2.0,2.0,5.0,7745838.46,2733960.292,14.0,9.0,11.0,156476.0,126900.0
14,59,0,0,730,2.0,2.0,2.0,6719402.08,3364951.04,3.0,3.0,3.0,192834.0,192834.0
23,64,0,0,796,1.0,1.0,2.0,4403271.62,2206635.81,9.0,9.0,9.0,190358.0,190358.0
14,66,0,0,819,2.0,2.0,7.0,17567969.62,3113094.51714286,21.0,13.0,17.285714285714285,224324.1,66500.0
15,67,0,0,825,1.0,1.0,3.0,9291831.18,3109610.39333333,12.0,12.0,12.0,173741.0,173741.0
0,68,0,0,827,1.0,1.0,2.0,7536461.39,3773230.695,8.0,8.0,8.0,106108.0,106108.0
6,69,0,0,829,1.0,1.0,12.0,3071160.0,1648703.51833333,6.0,1.0,3.083333333333333,99500.0,87500.0
6,70,0,0,830,1.0,1.0,2.0,5591968.02,2800984.01,8.0,8.0,8.0,188277.0,188277.0
17,70,0,0,830,2.0,2.0,2.0,5591968.02,2800984.01,8.0,8.0,8.0,188277.0,188277.0
12,71,0,0,839,2.0,2.0,4.0,7864977.09,1977994.2725,10.0,-1.0,7.25,2014119.0,253684.06
23,75,0,0,917,4.0,4.0,6.0,6080221.84,1748046.58833333,14.0,2.0,8.0,267424.0,185080.0
17,78,0,0,931,1.0,1.0,4.0,9777118.41,2454029.6025,10.0,8.0,8.5,165339.0,143287.0
11,79,0,0,937,1.0,1.0,3.0,6592937.02,2209979.00666667,5.0,5.0,5.0,245352.0,245352.0
16,81,0,0,955,1.0,1.0,3.0,4052843.1,1360614.36666667,10.0,10.0,10.0,174242.0,174242.0
18,82,0,0,959,1.0,1.0,4.0,4352179.22,1460726.40666667,11.0,11.0,11.0,188594.0,188594.0
24,83,0,0,970,2.0,2.0,3.0,5056542.9,1695180.96666667,1.0,1.0,1.0,156710.0,156710.0
12,84,0,0,976,1.0,1.0,3.0,6344190.68,2127063.56,6.0,6.0,6.0,182767.0,182767.0
15,84,0,0,976,1.0,1.0,3.0,6344190.68,2127063.56,6.0,6.0,6.0,182767.0,182767.0
3,87,0,0,1047,1.0,1.0,4.0,7724881.75,1942970.4375,19.0,5.0,8.5,236540.0,158713.0
19,89,0,0,1055,1.0,1.0,3.0,5344674.6,3566449.73333333,6.0,6.0,6.0,149562.0,149562.0
21,92,0,0,1092,1.0,1.0,3.0,3640076.03,2435717.35333333,20.0,20.0,20.0,92835.4,92835.4
6,101,0,0,1178,1.0,1.0,2.0,3186227.6,1598113.8,6.0,6.0,6.0,156648.36,156648.36
24,102,0,0,1184,1.0,1.0,3.0,9048885.58,3026295.19333333,2.0,2.0,2.0,193030.0,193030.0
18,103,0,0,1210,2.0,2.0,4.0,8435083.7,2128520.925,13.0,13.0,13.0,150432.0,150432.0
10,105,0,0,1221,1.0,1.0,6.0,8883866.0,4390402.96666667,17.0,17.0,17.0,221394.0,221394.0
13,106,0,0,1225,1.0,1.0,2.0,4915283.09,2462641.545,11.0,11.0,11.0,146368.0,146368.0
19,110,0,0,1254,4.0,4.0,6.0,13772296.96,2318716.16,10.0,2.0,6.0,308160.0,221078.0
15,113,0,0,1289,1.0,1.0,2.0,10122959.0,5074979.5,31.0,31.0,31.0,131467.0,131467.0
23,114,0,0,1294,3.0,3.0,9.0,8960411.69,1983292.25666667,27.0,1.0,16.333333333333332,260726.0,91284.0
22,115,0,0,1301,2.0,2.0,2.0,4826862.3,2418431.15,11.0,11.0,11.0,146794.0,146794.0
14,116,0,0,1311,1.0,1.0,3.0,10287625.11,3441541.70333333,11.0,11.0,11.0,159954.0,159954.0
19,118,0,0,1341,1.0,1.0,2.0,5076964.61,2543482.305,10.0,10.0,10.0,147128.0,147128.0
23,119,0,0,1347,1.0,1.0,3.0,4502115.25,1510705.08333333,14.0,14.0,14.0,200268.0,200268.0
10,121,0,0,1393,1.0,1.0,4.0,15229670.6,3821667.65,18.0,18.0,18.0,285607.0,285607.0
24,123,0,0,1414,1.0,1.0,3.0,7999364.35,2679788.11666667,13.0,13.0,13.0,246751.0,246751.0
11,130,0,0,1492,1.0,1.0,2.0,4902687.22,2456343.61,10.0,10.0,10.0,149870.0,149870.0
18,133,0,0,1529,4.0,4.0,28.0,15210670.86,2175385.37678571,19.0,-1.0,9.928571428571429,399377.0,153751.17
11,134,0,0,1531,1.0,1.0,3.0,4072376.52,1367125.50666667,9.0,9.0,9.0,179201.0,179201.0
15,136,0,0,1541,2.0,2.0,3.0,6547873.0,2194957.66666667,10.0,10.0,10.0,258067.0,258067.0
2,137,0,0,1571,1.0,1.0,3.0,4589187.69,1542062.56333333,29.0,29.0,29.0,187289.0,187289.0
17,139,0,0,1580,1.0,1.0,3.0,4474984.98,1501661.66,6.0,6.0,6.0,169715.0,169715.0
4,140,0,0,1585,1.0,1.0,4.0,6557923.84,3182741.8775,10.0,7.0,8.5,215100.0,158566.0
23,147,0,0,1626,3.0,3.0,3.0,6311791.16,2116263.72,26.0,26.0,26.0,189575.0,189575.0
11,149,0,0,1649,1.0,1.0,4.0,6778861.89,1699715.4725,16.0,11.0,12.25,295210.0,267677.0
12,151,0,0,1661,1.0,1.0,3.0,8474442.61,2834480.87,2.0,2.0,2.0,138710.0,138710.0
10,152,0,0,1682,1.0,1.0,9.0,6426036.86,2062771.71444444,13.0,2.0,7.666666666666667,224598.0,187115.0
10,154,0,0,1722,1.0,1.0,3.0,10327612.57,3454870.85666667,29.0,29.0,29.0,159308.0,159308.0
18,155,0,0,1771,2.0,2.0,2.0,5395932.18,2703216.09,8.0,8.0,8.0,158489.0,158489.0
19,156,0,0,1777,4.0,4.0,7.0,5535274.59,2373685.74428571,16.0,8.0,12.571428571428571,192349.0,179135.1
9,162,0,0,1833,1.0,1.0,2.0,7265215.49,3646107.745,32.0,32.0,32.0,171067.0,171067.0
24,163,0,0,1839,1.0,1.0,6.0,16289718.83,4771397.21666667,21.0,13.0,17.0,222761.0,204375.0
11,164,0,0,1855,1.0,1.0,3.0,13632583.74,4563194.58,12.0,12.0,12.0,358283.0,358283.0
24,166,0,0,1872,1.0,1.0,2.0,4938819.57,2474659.785,7.0,7.0,7.0,160293.0,160293.0
22,169,0,0,1911,1.0,1.0,6.0,8897534.77,1525841.69333333,26.0,26.0,26.0,156246.0,103182.0
20,170,0,0,1913,2.0,2.0,3.0,14778995.74,4945331.91333333,15.0,15.0,15.0,295352.0,295352.0
13,171,0,0,1933,1.0,1.0,3.0,11349468.04,3795489.34666667,11.0,11.0,11.0,180092.0,180092.0
6,173,0,0,1969,1.0,1.0,6.0,6343161.83,1121453.48666667,8.0,8.0,8.0,183654.0,102862.0
13,174,0,0,1975,1.0,1.0,5.0,5401987.3,1090397.46,8.0,6.0,6.4,170710.0,169697.0
13,177,0,0,1997,2.0,2.0,3.0,10290972.66,3442657.55333333,8.0,8.0,8.0,176693.0,176693.0
17,178,0,0,2000,1.0,1.0,3.0,11670301.93,3903433.97666667,24.0,24.0,24.0,213438.0,213438.0
24,178,0,0,2000,2.0,2.0,3.0,11670301.93,3903433.97666667,24.0,24.0,24.0,213438.0,213438.0
22,179,0,0,2005,1.0,1.0,3.0,9882769.03,3306589.67666667,2.0,2.0,2.0,160002.0,160002.0
24,180,0,0,2009,1.0,1.0,3.0,4140877.97,1395292.65666667,12.0,12.0,12.0,188920.0,188920.0
24,182,0,0,2027,1.0,1.0,3.0,7483067.58,2504355.86,2.0,2.0,2.0,161437.0,161437.0
12,184,0,0,2054,2.0,2.0,9.0,7824911.12,2512227.37,8.0,5.0,6.333333333333333,232170.0,220107.0
4,185,0,0,2069,1.0,1.0,2.0,9763216.44,4886608.22,5.0,5.0,5.0,185295.0,185295.0
12,186,0,0,2075,1.0,1.0,3.0,8823491.35,2953497.11666667,11.0,11.0,11.0,156260.0,156260.0
10,187,0,0,2081,1.0,1.0,3.0,5703979.52,1913659.84,1.0,1.0,1.0,165120.0,165120.0
14,187,0,0,2081,1.0,1.0,4.0,5703979.52,2861239.76,1.0,1.0,1.0,165120.0,165120.0
16,189,0,0,2097,2.0,2.0,3.0,8234643.94,2754881.31333333,22.0,22.0,22.0,206677.0,206677.0
10,190,0,0,2114,1.0,1.0,2.0,4233732.9,2121866.45,11.0,11.0,11.0,165679.0,165679.0
14,192,0,0,2124,3.0,3.0,6.0,26604574.57,4547147.76166667,16.0,16.0,16.0,350078.0,213650.0
17,193,0,0,2131,1.0,1.0,2.0,3941531.76,1975765.88,8.0,8.0,8.0,170319.0,170319.0
24,197,0,0,2184,1.0,1.0,3.0,6252989.27,4172159.51333333,9.0,9.0,9.0,161295.0,161295.0
23,198,0,0,2191,2.0,2.0,5.0,13024904.95,2607980.99,8.0,8.0,8.0,291222.0,291222.0
19,199,0,0,2193,1.0,1.0,2.0,4112128.81,2061314.405,6.0,6.0,6.0,133943.0,133943.0
15,200,0,0,2207,1.0,1.0,3.0,6475191.46,4320127.64,8.0,8.0,8.0,180646.0,180646.0
14,202,0,0,2233,1.0,1.0,3.0,7375916.36,2470972.12,16.0,16.0,16.0,190191.0,190191.0
20,203,0,0,2271,1.0,1.0,3.0,11218072.38,3759357.46,4.0,4.0,4.0,402355.0,402355.0
23,203,0,0,2271,1.0,1.0,3.0,11218072.38,3759357.46,4.0,4.0,4.0,402355.0,402355.0
23,204,0,0,2283,2.0,2.0,15.0,46836494.5,3606445.42666667,24.0,-2.0,4.933333333333334,2952960.0,119565.0
17,205,0,0,2297,2.0,2.0,6.0,6075643.2,2919191.65833333,10.0,10.0,10.0,174099.0,165099.0
17,208,0,0,2332,1.0,1.0,3.0,6725168.43,2251389.47666667,16.0,16.0,16.0,188553.0,188553.0
21,209,0,0,2341,1.0,1.0,3.0,10984653.31,3674884.43666667,20.0,20.0,20.0,211106.0,211106.0
15,210,1,0,2347,1.0,1.0,7.0,9180446.96,2548502.53285714,26.0,21.0,21.714285714285715,228193.0,175201.0
18,211,0,0,2388,1.0,1.0,6.0,2822044.0,1354622.025,9.0,6.0,7.0,70100.0,62362.75
18,212,0,0,2392,3.0,3.0,12.0,5895874.69,1547201.47083333,24.0,15.0,19.0,232120.0,206094.0
23,216,0,0,2417,1.0,1.0,3.0,8456698.05,2831232.68333333,20.0,20.0,20.0,212715.0,212715.0
21,217,0,0,2429,1.0,1.0,3.0,12714918.11,4251639.37,22.0,22.0,22.0,221101.0,221101.0
19,218,0,0,2438,1.0,1.0,2.0,4215059.32,2112529.66,22.0,22.0,22.0,193286.0,193286.0
9,219,0,0,2446,1.0,1.0,2.0,3462285.9,1736142.95,1.0,1.0,1.0,168231.0,168231.0
6,221,0,0,2474,1.0,1.0,3.0,6890723.92,2309241.30666667,13.0,13.0,13.0,127284.0,127284.0
24,222,0,0,2485,1.0,1.0,3.0,4086036.16,1371678.72,10.0,10.0,10.0,176713.0,176713.0
20,223,0,0,2491,2.0,2.0,3.0,8795454.48,2941818.16,14.0,14.0,14.0,160870.0,160870.0
5,224,0,0,2500,1.0,1.0,2.0,8733002.54,4371501.27,16.0,16.0,16.0,156403.0,156403.0
5,226,0,0,2532,1.0,1.0,2.0,3640694.31,1825597.155,2.0,2.0,2.0,149000.0,149000.0
20,227,0,1,2537,1.0,1.0,1.0,10000.0,10000.0,24.0,24.0,24.0,217874.0,217874.0
11,230,0,0,2583,1.0,1.0,2.0,5275395.5,2642697.75,6.0,6.0,6.0,143977.0,143977.0
15,231,0,0,2592,1.0,1.0,3.0,10281079.98,3446026.66,9.0,9.0,9.0,333727.0,333727.0
20,233,0,0,2616,1.0,1.0,3.0,6224699.42,2081566.47333333,11.0,10.0,10.333333333333334,182027.0,160937.0
11,235,0,0,2620,1.0,1.0,3.0,8426478.22,2821159.40666667,9.0,9.0,9.0,172464.0,172464.0
12,237,0,0,2634,1.0,1.0,3.0,6475111.96,2168037.32,11.0,11.0,11.0,165244.0,165244.0
22,238,0,0,2641,1.0,1.0,3.0,8607349.23,2882449.74333333,21.0,21.0,21.0,247246.0,247246.0
20,239,0,1,2653,1.0,1.0,3.0,10845115.68,3628371.89333333,27.0,27.0,27.0,256637.0,256637.0
15,241,0,0,2668,1.0,1.0,3.0,6048848.1,2022949.36666667,15.0,12.0,14.0,211904.0,183774.0
2,243,0,0,2673,1.0,1.0,3.0,5237953.6,1758317.86666667,23.0,23.0,23.0,213711.0,213711.0
24,244,0,0,2682,3.0,3.0,8.0,14271345.65,3156862.84875,19.0,14.0,16.5,311252.0,253202.0
19,245,0,0,2702,2.0,2.0,3.0,6571700.4,2202900.13333333,16.0,16.0,16.0,185658.0,185658.0
24,246,0,0,2710,2.0,2.0,4.0,4598160.05,1161290.0125,6.0,6.0,6.0,209758.0,164401.0
9,248,0,0,2725,1.0,1.0,3.0,6343732.12,4232654.74666667,5.0,5.0,5.0,161295.0,161295.0
21,249,0,0,2729,2.0,2.0,3.0,8406495.95,2815498.65,17.0,17.0,17.0,237817.0,237817.0
21,251,0,1,2781,1.0,1.0,3.0,10020374.66,3352458.22,10.0,10.0,10.0,192213.0,192213.0
16,255,0,0,2809,2.0,2.0,3.0,6960473.54,2332491.18,5.0,5.0,5.0,197962.0,197962.0
15,256,0,0,2846,1.0,1.0,3.0,6422710.95,2153236.98333333,7.0,7.0,7.0,227060.0,227060.0
24,257,0,0,2860,1.0,1.0,7.0,11202167.08,1629371.60285714,8.0,-2.0,6.571428571428571,2334556.0,94835.0
18,258,0,0,2870,1.0,1.0,8.0,6833132.16,2318574.38625,6.0,1.0,3.0,134329.0,108833.0
19,262,0,0,2913,1.0,1.0,3.0,9026642.36,3018880.78666667,9.0,9.0,9.0,260431.0,260431.0
14,263,0,0,2920,1.0,1.0,4.0,2880385.0,1368713.7825,9.0,8.0,8.5,99133.0,76100.0
9,264,0,0,2924,1.0,1.0,4.0,7875444.9,3849383.885,10.0,7.0,8.5,158404.0,156414.0
21,265,0,0,2939,2.0,2.0,3.0,10397247.0,3479082.33333333,20.0,20.0,20.0,210454.0,210454.0
14,266,0,0,2959,1.0,1.0,3.0,5523500.0,1851166.66666667,10.0,10.0,10.0,177072.0,177072.0
20,267,0,0,2968,1.0,1.0,3.0,4128982.33,1401994.11,13.0,13.0,13.0,170095.0,170095.0
23,268,0,0,2972,1.0,1.0,3.0,13839210.95,4632070.31666667,19.0,19.0,19.0,356466.0,356466.0
18,270,0,0,3024,1.0,1.0,3.0,4534902.19,1521300.73,10.0,10.0,10.0,170891.0,170891.0
9,271,0,0,3037,1.0,1.0,3.0,5438358.16,3634572.10666667,33.0,33.0,33.0,170412.0,170412.0
23,272,0,0,3040,2.0,2.0,3.0,3959937.27,1329645.75666667,23.0,23.0,23.0,199889.0,199889.0
11,274,0,0,3079,1.0,1.0,3.0,4335357.98,1457452.66,19.0,19.0,19.0,172673.0,172673.0
12,276,0,0,3098,2.0,2.0,2.0,4455601.47,2233050.735,7.0,7.0,7.0,159996.0,159996.0
7,280,0,0,3119,1.0,1.0,2.0,6020196.99,3015348.495,15.0,15.0,15.0,174099.0,174099.0
14,280,0,0,3119,2.0,2.0,2.0,6020196.99,3015348.495,15.0,15.0,15.0,174099.0,174099.0
20,281,0,0,3129,1.0,1.0,3.0,8865081.91,2965027.30333333,10.0,10.0,10.0,166838.0,166838.0
1,282,0,0,3135,1.0,1.0,3.0,3205044.14,2145696.09333333,6.0,6.0,6.0,212733.0,212733.0
8,283,0,0,3146,1.0,1.0,6.0,8119769.13,1394700.51666667,11.0,11.0,11.0,155472.0,110986.0
20,285,0,0,3153,1.0,1.0,3.0,5065477.55,1698492.51666667,18.0,18.0,18.0,235521.0,235521.0
22,288,0,0,3202,2.0,2.0,3.0,3673291.91,2457861.27333333,11.0,11.0,11.0,235252.0,235252.0
12,289,0,0,3209,2.0,2.0,3.0,5813405.02,3879103.34666667,3.0,3.0,3.0,161295.0,161295.0
24,290,0,0,3219,1.0,1.0,3.0,5992296.79,2000765.59666667,10.0,10.0,10.0,161579.0,161579.0
10,293,0,0,3263,1.0,1.0,2.0,5696603.77,2853301.885,9.0,9.0,9.0,156337.0,156337.0
15,294,0,0,3277,2.0,2.0,3.0,6139805.0,2058935.0,11.0,11.0,11.0,184141.0,184141.0
18,294,0,0,3277,2.0,2.0,3.0,6139805.0,2058935.0,11.0,11.0,11.0,184141.0,184141.0
24,295,0,0,3279,1.0,1.0,6.0,13844746.54,4293094.09333333,5.0,4.0,4.5,375342.0,281594.0
8,300,1,0,3325,1.0,1.0,2.0,7337538.72,3673769.36,13.0,13.0,13.0,198314.14,198314.14
10,302,1,0,3334,1.0,1.0,2.0,6648944.1,3329472.05,2.0,2.0,2.0,180215.0,180215.0
8,303,1,0,3342,1.0,1.0,3.0,10453996.8,3496998.93333333,27.0,27.0,27.0,161164.0,161164.0
24,306,0,0,3396,2.0,2.0,2.0,4535284.34,2272642.17,7.0,7.0,7.0,168357.0,168357.0
19,307,0,0,3407,1.0,1.0,3.0,5965525.65,1998175.21666667,12.0,12.0,12.0,160285.0,160285.0
22,309,0,0,3430,4.0,4.0,3.0,4182352.32,2797234.88,4.0,4.0,4.0,89118.95,89118.95
18,310,0,0,3431,3.0,3.0,3.0,6008132.69,2015044.23,4.0,4.0,4.0,226571.0,226571.0
16,311,0,0,3434,1.0,1.0,2.0,5011310.15,2510905.075,2.0,2.0,2.0,101645.0,101645.0
22,312,0,0,3437,2.0,2.0,3.0,6854103.17,2297034.39,27.0,27.0,27.0,235601.0,235601.0
10,313,0,0,3444,1.0,1.0,2.0,9374386.45,4692193.225,4.0,4.0,4.0,223803.0,223803.0
19,318,0,0,3512,1.0,1.0,3.0,4366369.45,1465456.48333333,11.0,11.0,11.0,197045.0,197045.0
10,319,0,0,3521,1.0,1.0,4.0,12579344.49,3166586.1225,14.0,12.0,13.5,309561.0,237816.0
23,321,0,0,3526,2.0,2.0,3.0,6499681.29,2178893.76333333,13.0,13.0,13.0,185394.0,185394.0
17,323,0,0,3533,1.0,1.0,4.0,6887189.68,1726797.42,7.0,7.0,7.0,170390.0,157421.0
20,324,0,0,3544,1.0,1.0,3.0,10599450.99,3543150.33,9.0,9.0,9.0,172706.0,172706.0
21,327,0,0,3588,1.0,1.0,6.0,5586506.77,2606990.56166667,19.0,9.0,15.666666666666666,243270.0,200061.0
12,329,0,0,3618,2.0,2.0,3.0,4362775.34,1466591.78,26.0,26.0,26.0,178068.0,178068.0
14,331,0,0,3638,2.0,2.0,6.0,7959135.56,1386622.695,15.0,15.0,15.0,163585.0,104715.0
19,332,0,0,3640,1.0,1.0,3.0,6127753.25,2052584.41666667,2.0,2.0,2.0,169613.0,169613.0
16,333,0,0,3647,1.0,1.0,3.0,7409155.11,2483051.70333333,4.0,4.0,4.0,266266.0,266266.0
23,334,0,0,3658,1.0,1.0,3.0,9050513.82,3023504.60666667,11.0,11.0,11.0,164229.0,155027.0
2,335,0,0,3703,1.0,1.0,3.0,6807490.36,2281496.78666667,18.0,18.0,18.0,137394.0,137394.0
19,336,0,0,3705,1.0,1.0,3.0,8773075.24,2936691.74666667,23.0,23.0,23.0,221626.0,221626.0
24,337,0,0,3724,1.0,1.0,3.0,6016224.29,2020408.09666667,2.0,2.0,2.0,179358.0,179358.0
24,339,0,0,3742,1.0,1.0,3.0,11663538.8,3906846.26666667,9.0,9.0,9.0,340930.0,340930.0
13,342,0,0,3783,2.0,2.0,1.0,10000.0,10000.0,12.0,12.0,12.0,251607.0,251607.0
18,343,0,0,3807,4.0,4.0,7.0,5396428.3,1554693.8,9.0,9.0,9.0,239247.0,239247.0
24,344,0,0,3822,2.0,2.0,3.0,4703633.2,1577877.73333333,13.0,13.0,13.0,207904.0,207904.0
23,345,0,1,3832,1.0,1.0,3.0,4213050.91,1414350.30333333,8.0,8.0,8.0,194521.0,194521.0
23,346,0,1,3848,1.0,1.0,3.0,13775933.57,4601977.85666667,5.0,5.0,5.0,172616.0,172616.0
20,354,0,0,3899,1.0,1.0,3.0,11177858.98,3735952.99333333,11.0,11.0,11.0,174829.0,174829.0
20,356,0,0,3941,1.0,1.0,3.0,12098961.67,4046320.55666667,19.0,19.0,19.0,183864.0,183864.0
16,358,0,0,3977,1.0,1.0,3.0,4314875.72,1448291.90666667,10.0,10.0,10.0,211382.0,211382.0
5,359,0,0,3996,1.0,1.0,2.0,5949840.08,2980170.04,8.0,8.0,8.0,158991.0,158991.0
17,360,0,0,3998,1.0,1.0,3.0,7480257.59,4990171.72666667,2.0,2.0,2.0,111962.0,111962.0
13,361,0,0,4003,1.0,1.0,5.0,17112719.74,3433943.948,13.0,13.0,13.0,278702.0,278702.0
21,363,0,1,4061,1.0,1.0,3.0,9508060.8,3192686.93333333,2.0,2.0,2.0,173656.0,173656.0
20,364,0,0,4085,3.0,3.0,2.0,4550538.13,2280519.065,9.0,9.0,9.0,96134.0,96134.0
16,365,0,0,4094,1.0,1.0,3.0,7277952.87,2438317.62333333,10.0,10.0,10.0,243202.0,243202.0
19,366,0,0,4115,2.0,2.0,7.0,4260185.94,1190693.47428571,11.0,11.0,11.0,171389.0,168037.0
13,368,0,0,4128,2.0,2.0,6.0,13542405.1,4126520.925,16.0,3.0,9.5,371515.0,206747.0
18,369,0,0,4149,1.0,1.0,3.0,8454813.12,2837271.04,7.0,7.0,7.0,270515.0,270515.0
12,372,0,0,4173,1.0,1.0,3.0,4516854.13,1515618.04333333,11.0,11.0,11.0,191114.0,191114.0
19,374,0,0,4183,1.0,1.0,3.0,7477455.32,2502485.10666667,10.0,10.0,10.0,172038.0,172038.0
0,375,0,0,4185,1.0,1.0,2.0,2776694.16,1393597.08,21.0,21.0,21.0,82753.0,82753.0
11,377,0,0,4201,1.0,1.0,1.0,10000.0,10000.0,14.0,14.0,14.0,187998.0,187998.0
17,380,0,0,4279,3.0,3.0,3.0,10227506.57,3421502.19,22.0,22.0,22.0,170870.0,170870.0
21,383,0,0,4285,1.0,1.0,2.0,9544869.69,4777434.845,8.0,8.0,8.0,119840.0,119840.0
16,384,0,0,4309,2.0,2.0,3.0,8217204.34,2751401.44666667,26.0,26.0,26.0,210349.0,210349.0
22,385,0,1,4316,1.0,1.0,3.0,7595565.81,2541855.27,10.0,10.0,10.0,165014.0,165014.0
22,386,0,1,4326,1.0,1.0,3.0,6532799.86,2189933.28666667,9.0,9.0,9.0,196562.0,196562.0
3,387,0,0,4351,1.0,1.0,3.0,3166939.78,2120293.18666667,3.0,3.0,3.0,92492.4,92492.4
21,388,0,0,4364,1.0,1.0,2.0,5674467.11,2842233.555,9.0,9.0,9.0,160806.0,160806.0
20,390,0,0,4367,1.0,1.0,3.0,4610706.59,1546902.19666667,10.0,10.0,10.0,216042.0,216042.0
